App No.	Attorney	Case Ref	Client	Applicant name	Status
KH/P/08/00030	Nguyễn Thị Thu Hiền	IP/PR529	Watermark Intellectual Property Pty Ltd 	SmarTech Designs Pty Limited	Withdrawn
1-2008-01499	Nguyễn Thành Đạt/Quyet	IP/PR528	Spruson & Ferguson (Asia) Pte Ltd	KNOWLES ELECTRONICS, LLC	Withdrawn
1-2008-01448	Nguyễn Thị Thu Hiền	IP/PR527	KIRARI PATENT	Sumitomo Rubber Industries, Ltd.	Registered
1-2008-01527	Nguyễn Thành Đạt	IP/PR526	Katzarov SA	ARCH CHEMICALS, INC.	Registered
1-2008-01149	Hang	IP/PR525	Spruson & Ferguson (Asia) Pte Ltd	FOREST LABORATORIES, INC.	Withdrawn
1-2008-01150	Hang	IP/PR524	Spruson & Ferguson (Asia) Pte Ltd	FOREST LABORATORIES, INC.	Withdrawn
KH/P/08/00026	Nguyễn Thị Thu Hiền	IP/PR523	Allen & Gledhill LLP	LIM, Jee Keng James	Withdrawn
1-2008-01381	Hang/ND	IP/PR522	Shobayashi International Patent & Trademark Office	Polyplastics Co., Ltd.	Withdrawn
1-2008-01529	nthung/ND	IP/PR521	McGlinchey Stafford, PLLC	Albemarle Corporation	Withdrawn
1-2008-01528	nthung/ND	IP/PR520	McGlinchey Stafford, PLLC	Albemarle Corporation	Withdrawn
1-2008-01365	Nam	IP/PR519	Yusarn Audrey LLC	CHIKKA PTE LTD.	Registered
1-2008-01076	Phạm Thị Phương Thảo/Nguyễn Thị Trang	IP/PR518	Spruson & Ferguson (Asia) Pte Ltd	Chr. Hansen A/S	Withdrawn
1-2008-01331	Nguyễn Thành Đạt	IP/PR517	BUGNION S.p.A.	CAZZARO MARIO	Registered
1-2008-01179	Nam/KD	IP/PR516	Shiga International Patent Office	SHOWA DENKO K.K	Withdrawn
1-2008-01297	Quyet	IP/PR515	KAPUNAN LOTILLA FLORES GARCIA and CASTILLO	ELIXIR GROUP LIMITED	Withdrawn
PT66	Nguyễn Thị Thu Hiền/Bùi Thùy Linh	IP/PR514	Zilka-Kotab, PC	UTIBA PTE LTD	Filed
	nthung	IP/PR513	Spruson & Ferguson (Asia) Pte Ltd	Landmark Graphics Corporation	Withdrawn
1-2008-01180	thutrang/hiền/NDung	IP/PR512	Shobayashi International Patent & Trademark Office	"Polyplastics Co., Ltd.
 Topas Advanced Polymers GmbH"	Withdrawn
1-2008-01465	Hang	IP/PR511	Tilleke & Gibbins International Ltd.	KIMBERLY-CLARK WORLDWIDE, INC.	Withdrawn
1-2008-01464	Hang	IP/PR510	Tilleke & Gibbins International Ltd.	KIMBERLY-CLARK WORLDWIDE, INC.	Withdrawn
1-2008-01463	Nguyễn Thị Trang	IP/PR509	Tilleke & Gibbins International Ltd.	KIMBERLY-CLARK WORLDWIDE, INC.	Withdrawn
1-2008-01020	nthung/ND	IP/PR508	Deacons (HK)	"3M Innovative Properties Company
 Nippon Telegraph and Telephone Corporation"	Registered
1-2008-01000	nthung/ND	IP/PR507	Deacons (HK)	3M Innovative Properties Company	Withdrawn
1-2008-01126	Nguyễn Thành Đạt/Quyet	IP/PR506	Spruson & Ferguson (Asia) Pte Ltd	"NATIONAL UNIVERSITY OF SINGAPORE
 MARITIME AND PORT AUTHORITY OF SINGAPORE
 JURONG CONSULTANTS PTE LTD"	Withdrawn
1-2008-00906	Nguyễn Thị Thu Hiền	IP/PR505	Pintas Consulting Group Sdn Bhd	Universiti Putra Malaysia	Registered
1-2008-00926	Nguyễn Hậu Sinh	IP/PR504	ALBEMARLE CORPORATION	Albemarle Corporation	Withdrawn
1-2008-01210	Lam Thanh/NDzung	IP/PR503	Muller-Bore & Partner	LOHIA CORP LIMITED	Registered
1-2008-01196	Nguyễn Thị Trang	IP/PR502	Perry + Currier Inc.	GENEREX PHARMACEUTICALS INC.	Withdrawn
1-2008-00977	NQuang/PHung/Quyet	IP/PR501	S. B. G. & K. Patent and Law Offices	SKIRTLIGHT S.A.	Registered
1-2008-01127	nthung/NDzung	IP/PR500	Phillips Ormonde Fitzpatrick	"Carl Zeiss Vision Australia Holdings Limited
 Carl Zeiss Vision Inc."	Registered
1-2008-00835	Hang	IP/PR499	Spruson & Ferguson (Asia) Pte Ltd	ATHEROGENICS, INC.	Withdrawn
1-2008-01211	nthung/ND	IP/PR498	Kraus & Weisert	ATOTECH DEUTSCHLAND GMBH	Withdrawn
1-2008-01061	Nguyễn Thị Thu Hiền	IP/PR497	PHIL & ONZI Int'l Patent & Law Firm	PARK, Se-Joon	Withdrawn
1-2008-01037	Nguyễn Thị Trang	IP/PR496	Spruson & Ferguson (Asia) Pte Ltd	THE REGENTS OF THE UNIVERSITY OF CALIFORNIA	Withdrawn
1-2008-00871	Quyet/ND	IP/PR495	Deacons (HK)	3M Innovative Properties Company	Withdrawn
1-2008-00869	Nguyễn Thành Đạt/ND	IP/PR494	Deacons (HK)	3M Innovative Properties Company	Withdrawn
1-2008-00870	Nguyễn Thành Đạt/ND	IP/PR493	Deacons (HK)	3M Innovative Properties Company	Withdrawn
1-2008-00751	Bùi Thùy Linh	IP/PR492	Spruson & Ferguson (Asia) Pte Ltd	KAGOSHIMA UNIVERSITY	Registered
1-2008-00750	Nguyễn Thị Thu Hiền	IP/PR491	Spruson & Ferguson (Asia) Pte Ltd	Nitto Denko Corporation	Withdrawn
2-2008-00071	nthung	IP/PR490	Liuh Sheng Law & Patent & Trademark Office	LIN CHENG TECHNOLOGIES CO., LTD.	Requested
1-2008-00880	Nguyễn Thị Thu Hiền	IP/PR489	Spruson & Ferguson (Asia) Pte Ltd	INTERMUNE, INC.	Withdrawn
1-2008-01296	Quyet	IP/PR488	KAPUNAN LOTILLA FLORES GARCIA and CASTILLO	ELIXIR GROUP LIMITED	Withdrawn
1-2008-01295	Quyet	IP/PR487	KAPUNAN LOTILLA FLORES GARCIA and CASTILLO	ELIXIR GROUP LIMITED	Withdrawn
1-2008-01294	Quyet	IP/PR486	KAPUNAN LOTILLA FLORES GARCIA and CASTILLO	ELIXIR GROUP LIMITED	Withdrawn
1-2008-00593	nthung	IP/PR485	IPPLUS Patent Office	NEOBULB TECHNOLOGIES, INC.	Registered
1-2008-00530	Nguyễn Vũ Nam	IP/PR484	Tilleke & Gibbins International Ltd.	SCG Building Materials Co., Ltd	Registered
1-2008-00706	Nguyễn Thị Mỹ Hương	IP/PR483	Spruson & Ferguson (Asia) Pte Ltd	GALA INDUSTRIES, INC.	Registered
1-2008-00516	Nguyễn Thành Đạt	IP/PR482	Hubert Hsu & Associates	Santa Electronics Inc.	Withdrawn
1-2008-00851	Nguyễn Thị Trang	IP/PR481	Katzarov SA	ANALYTECON SA	Withdrawn
1-2008-00850	Nguyễn Thị Trang	IP/PR480	Katzarov SA	ANALYTECON SA	Registered
1-2008-00618	Nguyễn Thị Thu Hiền	IP/PR479	Shiga International Patent Office	"MIE UNIVERSITY 
 Oji Paper Co., Ltd."	Registered
1-2008-00649	Phạm Phan Anh/Lê Văn Long/Lâm Thanh/nthung/KD	IP/PR478	Spruson & Ferguson (Asia) Pte Ltd	Alcan International Limited	Registered
1-2008-00681	Nguyễn Thanh Quang	IP/PR477	Okuyama & Sasajima	NIPPON OIL CORPORATION	Withdrawn
1-2008-00543	Quyet/Nam	IP/PR476	Spruson & Ferguson (Asia) Pte Ltd	ATD WASTE SYSTEMS INC.	Withdrawn
1-2008-00800	Hang	IP/PR475	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2008-00423	Nguyễn Thành Đạt	IP/PR474	Spruson & Ferguson (Asia) Pte Ltd	GALINI ASSOCIATES LTD	Registered
1-2008-00799	Hang	IP/PR473	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2008-00485	Quyet/nam	IP/PR472	Head, Johnson, Kachigian & Wilkinson	Road Science, L.L.C.	Registered
1-2008-00648	nthung	IP/PR471	BIELEN & LAMPE	WONG, Thomas, K.	Registered
1-2008-00296	nthung	IP/PR470	Spruson & Ferguson (Asia) Pte Ltd	KNOWLES ELECTRONICS, LLC	Withdrawn
1-2008-00374	Nguyễn Thị Thu Hiền	IP/PR469	Spruson & Ferguson (Asia) Pte Ltd	Trubion Pharmaceuticals, Inc.	Withdrawn
1-2008-00229	Nguyễn Thành Đạt	IP/PR468	Pintas Consulting Group Sdn Bhd	COMPUTER-BASED LEARNING SDN BHD	Withdrawn
1-2008-00779	PTPThảo/Nguyễn Thành Đạt/ND	IP/PR467	U.S. Harvest Postal Protection Services Corporation	U.S. Harvest Postal Protection Services Corporation	Withdrawn
1-2008-00283	nthung/ND	IP/PR466	McGlinchey Stafford, PLLC	ALBEMARLE CORPORATION	Withdrawn
1-2008-00198	Hang	IP/PR465	Spruson & Ferguson (Asia) Pte Ltd	"AMT INTERNATIONAL INC.
 CPC CORPORATION, TAIWAN"	Withdrawn
1-2008-00506	Nam	IP/PR464	Yusarn Audrey LLC	TEO, Lian Hing Trading As Macmill Associates	Registered
1-2008-00132	Nguyễn Thị Thu Hiền	IP/PR463	Tilleke & Gibbins International Ltd.	Pan Rubber Industries Co., Ltd.	Registered
1-2008-00282	Ngọc Quang/Nguyễn Thành Đạt/KD	IP/PR462	Shiga International Patent Office	Fujikura Ltd.	Withdrawn
1-2008-00411	nthung	IP/PR461	Spruson & Ferguson (Asia) Pte Ltd	NOKIA CORPORATION	Withdrawn
1-2008-00809	Hang	IP/PR460	Spruson & Ferguson (Asia) Pte Ltd	TEIKOKU PHARMA USA, INC.	Withdrawn
1-2008-00346	NDung	IP/PR459	Tilleke & Gibbins International Ltd.	Takeda San Diego, Inc.	Withdrawn
1-2008-00373	Nguyễn Thu Trang	IP/PR458	Spruson & Ferguson (Asia) Pte Ltd	APTEVO RESEARCH AND DEVELOPMENT LLC	Registered
1-2008-00130	Hang	IP/PR457	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2008-00118	Quyet/nam	IP/PR456	Spruson & Ferguson (Asia) Pte Ltd	Sung San Industry Co., Ltd.	Withdrawn
1-2008-00131	Hang/Đạt	IP/PR455	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2008-00230	Ngô Thị Phương Hoa	IP/PR454	Spruson & Ferguson (Asia) Pte Ltd	THE REGENTS OF THE UNIVERSITY OF CALIFORNIA	Registered
1-2008-00026	nthung/ND	IP/PR453	ALBEMARLE CORPORATION	ALBEMARLE CORPORATION	Withdrawn
1-2007-02858	Nguyễn Hậu Sinh	IP/PR452	BURNS & LEVINSON LLP	MPF, INC.	Registered
1-2008-00297	Nguyễn Hương Giang/KD	IP/PR451	Centcrest IP Attorneys	KUREHA CORPORATION	Registered
1-2008-00133	Trần Ngọc Quang	IP/PR450	Spruson & Ferguson (Asia) Pte Ltd	AIR WATER INC.	Registered
1-2007-02844	NDung	IP/PR449	Spruson & Ferguson (Asia) Pte Ltd	UNITED PHOSPHORUS, LTD.	Withdrawn
1-2008-00188	Quyet	IP/PR448	S. MAJUMDAR & CO.	ALEMBIC LIMITED	Withdrawn
1-2007-02730	Nguyễn Thành Đạt	IP/PR447	Adastra IP (M) Sdn Bhd	JABATAN PENGAIRAN DAN SALIRAN MALAYSIA	Registered
1-2008-00076	Ngọc Quang/Nguyễn Thành Đạt	IP/PR446	Adastra IP (M) Sdn Bhd	BRITESOFT SOLUTIONS (M) SDN BHD	Withdrawn
1-2008-00162	Bùi Thùy Linh	IP/PR445	Spruson & Ferguson (Asia) Pte Ltd	UNITED PHOSPHORUS, LTD.	Registered
1-2008-00021	Nguyễn Thành Đạt/Quyet	IP/PR444	Ermakova, Stoliarova And Partners	Timantti AB	Withdrawn
1-2008-00020	Nguyễn Hương Giang	IP/PR443	Ermakova, Stoliarova And Partners	Timantti AB	Withdrawn
1-2007-02741	Nguyễn Thành Đạt	IP/PR442	Spruson & Ferguson (Asia) Pte Ltd	BOLDUC LEROUX INC.	Withdrawn
1-2007-02728	nam/nthung/Thu/KD	IP/PR441	Spruson & Ferguson (Asia) Pte Ltd	GALA INDUSTRIES, INC.	Registered
1-2007-02625	nthung/ND	IP/PR440	ALBEMARLE CORPORATION	ALBEMARLE CORPORATION	Withdrawn
1-2007-02811	Nam	IP/PR439	Vision International	SEO, Gi Weon	Refused
1-2007-02845	Nguyễn Hậu Sinh	IP/PR438	Kador & Partner	BOREALIS TECHNOLOGY OY	Registered
1-2008-00272	Nguyễn Thành Đạt	IP/PR437	DCC Advanz Malaysia Sdn Bhd	Nexbis Sdn. Bhd.	Registered
1-2007-02843	Nguyễn Thành Đạt/ND	IP/PR436	ALBEMARLE CORPORATION	ALBEMARLE CORPORATION	Withdrawn
1-2007-02550	Nguyễn Thị Thu	IP/PR435	Haeorom International Patent & Law Offices	SUDOKWON Landfill Site Management Corp. (KR)	Registered
1-2007-02668	Quyet/trang	IP/PR434	Okuyama & Sasajima	"NIPPON OIL CORPORATION
 JAPAN PETROLEUM ENERGY CENTER"	Registered
1-2008-00050	Hang	IP/PR433	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2008-00051	Hang	IP/PR432	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
KH/P/07/00010	Nguyễn Thị Thu Hiền/Bùi Thùy Linh	IP/PR431	Kanung & Partners Law Offices	Thailand Center of Excellence for Life Sciences (TCELS)	Withdrawn
1-2007-02543	PTP Thảo/NTrang	IP/PR430	Katzarov SA	"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA
 THE UAB RESEARCH FOUNDATION"	Withdrawn
PT51	Nguyễn Thị Thu Hiền/Bùi Thùy Linh	IP/PR429	Kanung & Partners Law Offices	Thailand Center of Excellence for Life Sciences (TCELS)	Requested
1-2007-02604	Nguyễn Hậu Sinh	IP/PR428	YOU ME PATENT & LAW FIRM	DiNonA Inc.	Registered
1-2007-02572	Nguyễn Thị Trang	IP/PR427	Spruson & Ferguson (Asia) Pte Ltd	INTERMUNE, INC.	Withdrawn
1-2008-00040	Hang	IP/PR426	Spruson & Ferguson (Asia) Pte Ltd	Temasek Life Sciences Laboratory Limited	Withdrawn
1-2007-02616	Nguyễn Thị Thu Hiền	IP/PR425	Spruson & Ferguson (Asia) Pte Ltd	Lexicon Pharmaceuticals, Inc.	Withdrawn
1-2007-02669	nthung	IP/PR424	Inspicos P/S	HEMPEL A/S	Registered
1-2007-02310	Nguyễn Thị Thu Hiền/ND	IP/PR423	KIRARI PATENT	Sumitomo Rubber Industries, Ltd.	Registered
1-2007-02459	nthung	IP/PR422	IPPLUS Patent Office	INVENTEC APPLIANCES CORP.	Registered
1-2007-02742	Thu/Nguyễn Thành Đạt/ND	IP/PR421	Kraus & Weisert	ATOTECH DEUTSCHLAND GMBH	Abandoned
1-2007-02136	Nguyễn Thị Thu Hiền	IP/PR420/H	Công ty TNHH Công nghệ Sinh học Dược Na No Gen	Công ty TNHH Công Nghệ Sinh Học Dược Na No Gen	Withdrawn
1-2007-02171	Nguyễn Thị Trang	IP/PR419	Shobayashi International Patent & Trademark Office	OHARA INC.	Withdrawn
1-2007-02226	Nguyễn Thành Đạt	IP/PR418	Spoor & Fisher	BOSCH PROJECTS (PTY) LTD	Registered
1-2007-02309	nthung/NDzung	IP/PR417	Olive International Patent Office	MITSUBISHI HEAVY INDUSTRIES, LTD.	Registered
1-2007-02328	Nguyễn Thị Thu Hiền/ND	IP/PR416	Kraus & Weisert	DR. WILLMAR SCHWABE GMBH & CO. KG	Registered
1-2007-02329	Nguyễn Thị Thu Hiền	IP/PR415	Kraus & Weisert	DR. WILLMAR SCHWABE GMBH & CO. KG	Registered
1-2007-02137	Hoàng Tuấn	IP/PR414	Olive International Patent Office	MITSUBISHI HITACHI POWER SYSTEMS, LTD.	Registered
1-2007-02551	nthung	IP/PR413	Spruson & Ferguson (Asia) Pte Ltd	KNOWLES ELECTRONICS, LLC	Withdrawn
1-2007-02052	Ngô Lâm Thanh	IP/PR412	Spruson & Ferguson (Asia) Pte Ltd	Inn San Co., Ltd.	Withdrawn
1-2007-01989	Nguyễn Thành Đạt	IP/PR411	IPPLUS Patent Office	NEOBULB TECHNOLOGIES, INC.	Withdrawn
1-2007-02420	Nguyễn Thị Thu Hiền	IP/PR410	WisePlus IP Firm	GUNZE LIMITED	Registered
1-2007-02237	NTQuang\Quyet	IP/PR409	Uniteck (Patent & Law Associates)	LIM, Deog Gu	Withdrawn
1-2007-02064	Nguyễn Vũ Nam	IP/PR408	Tilleke & Gibbins Consultants Limited (VN)	GLOBAL AGRICULTURAL TECHNOLOGY AND ENGINEERING, LLC	Registered
1-2007-01988	Nguyễn Thị Trang/ND	IP/PR407	ALBEMARLE CORPORATION	Albemarle Corporation	Withdrawn
1-2007-01913	nthung	IP/PR406	Tilleke & Gibbins International Ltd.	SCG BUILDING MATERIALS CO., LTD	Registered
1-2007-02272	nthung	IP/PR405	Spruson & Ferguson (Asia) Pte Ltd	SUN ACE KAKOH (PTE.) LTD.	Registered
1-2007-02380	Hang	IP/PR404	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2007-02172	Ngọc Quang/Nguyễn Thành Đạt	IP/PR403	YOU ME PATENT & LAW FIRM	LG HOUSEHOLD & HEALTH CARE LTD.	Registered
1-2007-01964	Nam/Ndung	IP/PR402	Shobayashi International Patent & Trademark Office	OHARA INC.	Withdrawn
1-2007-01957	Nguyễn Thị Trang	IP/PR401	Spruson & Ferguson (Asia) Pte Ltd	REVANCE THERAPEUTICS, INC.	Withdrawn
1-2008-00529	Nguyễn Thành Đạt/ND	IP/PR400	Deacons (HK)	3M Innovative Properties Company	Withdrawn
1-2008-00528	nthung/ND	IP/PR399	Deacons (HK)	3M INNOVATIVE PROPERTIES COMPANY	Registered
1-2007-01958	Nguyễn Thị Thu Hiền	IP/PR398	Spruson & Ferguson (Asia) Pte Ltd	REVANCE THERAPEUTICS, INC.	Withdrawn
2-2007-00140	Nam/ND	IP/PR397	LIBERTY Patent & Trademark Office	Chong, Mok Chung	Withdrawn
1-2007-01813	Nguyễn Thị Trang	IP/PR396	Tilleke & Gibbins Consultants Limited (VN)	ROHM AND HASS COMPANY	Withdrawn
1-2007-02201	Quyet/nam	IP/PR395	Spruson & Ferguson (Asia) Pte Ltd	Knowles Electronics, LLC	Registered
1-2007-02379	nthung	IP/PR394	Spruson & Ferguson (Asia) Pte Ltd	Knowles Electronics, LLC	Withdrawn
1-2007-02378	nthung	IP/PR393	Spruson & Ferguson (Asia) Pte Ltd	Knowles Electronics, LLC	Withdrawn
1-2007-02243	Nguyễn Thành Đạt	IP/PR392	Spruson & Ferguson (Asia) Pte Ltd	KNOWLES ELECTRONICS LLC	Withdrawn
1-2007-01677	Nguyễn Thành Đạt/ KD	IP/PR391	Adastra IP (M) Sdn Bhd	"Pantech Co., Ltd.
 Pantech & Curitel Communications, Inc."	Registered
1-2007-01799	Hang	IP/PR390	Spruson & Ferguson (Asia) Pte Ltd	THE UNITED STATES OF AMERICA, as represented by THE SECRETARY OF THE NAVY	Withdrawn
1-2007-01800	nthung	IP/PR389	Spruson & Ferguson (Asia) Pte Ltd	The United States of America, as Represented by the Secretary of the Navy	Withdrawn
1-2007-01801	Nguyễn Thành Đạt	IP/PR388	Spruson & Ferguson (Asia) Pte Ltd	THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF THE NAVY	Withdrawn
1-2007-01802	nthung	IP/PR387	Spruson & Ferguson (Asia) Pte Ltd	THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF THE NAVY	Withdrawn
1-2007-01798	Hang	IP/PR386	Spruson & Ferguson (Asia) Pte Ltd	THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF THE NAVY	Withdrawn
1-2007-01678	Nam	IP/PR385	Adastra IP (M) Sdn Bhd	"Pantech Co., Ltd.
 Pantech & Curitel Communications, Inc."	Withdrawn
1-2007-01887	Nguyễn Thành Đạt/ Thu	IP/PR384	Spruson & Ferguson (Asia) Pte Ltd	CLEAN COMBUSTION TECHNOLOGIES LLC	Withdrawn
1-2007-01650	nthung	IP/PR383	BUGNION S.p.A.	TEC. INN. S.r.l.	Withdrawn
1-2007-01815	Nguyễn Thị Thu Hiền/ND	IP/PR382	KIRARI PATENT	Sumitomo Rubber Industries, Ltd.	Registered
1-2007-01836	Nguyễn Thị Trang	IP/PR381	McCarthy Port - Patent and Trade Mark Attorneys	Billiton Aluminium Australia Pty Ltd	Registered
2-2007-00175	Nguyễn Thị Mỹ Hương	IP/PR380	Kanung & Partners Law Offices	Thailand Center of Excellence for Life Sciences (TCELS)	Registered
1-2007-01588	Nguyễn Thành Đạt	IP/PR379	YOU ME PATENT & LAW FIRM	"STULZ GOLF TECHNOLOGIES, LLC
 JUNG, Byung-chun"	Withdrawn
1-2007-01636	Nguyễn Thành Đạt/ND	IP/PR378	Anthony I. Provitola, Attorney and Counselor at Law	PROVITOLA, Anthony	Withdrawn
1-2007-01606	Nam	IP/PR377	IPICS CORPORATION	DENSO CORPORATION	Registered
1-2007-01649	Nguyễn Thị Mỹ Hương/NTT/ND	IP/PR376	KIRARI PATENT	Sumitomo Rubber Industries, Ltd.	Registered
1-2007-01620	Nthung	IP/PR375	IPICS CORPORATION	DENSO CORPORATION	Registered
1-2007-01948	Hang	IP/PR374	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2007-01560	Nthung	IP/PR373	Spruson & Ferguson (Asia) Pte Ltd	Gala Industries, Inc.	Registered
1-2007-01816	Nguyễn Hậu Sinh	IP/PR372	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Registered
1-2007-01471	nthung/ND	IP/PR371	Deacons (HK)	Clipsal Asia Holdings Limited	Registered
1-2007-01470	Nguyen Thu Trang/Hang	IP/PR370	Spruson & Ferguson (Asia) Pte Ltd	TEIKOKU PHARMA USA, INC.	Withdrawn
1-2007-01817	Nguyễn Hậu Sinh	IP/PR369	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Registered
1-2007-01556	Nguyễn Thành Đạt	IP/PR368	IPICS CORPORATION	DENSO CORPORATION	Withdrawn
1-2007-01424	Nguyễn Thị Trang	IP/PR367	Spruson & Ferguson (Asia) Pte Ltd	CHEVRON U.S.A. INC.	Registered
1-2007-01416	Nam	IP/PR366	Spruson & Ferguson (Asia) Pte Ltd	Gala Industries, Inc.	Registered
1-2007-01947	Hang/ND	IP/PR365	Kraus & Weisert	Chiesi Farmaceutici S.p.A.	Withdrawn
1-2007-01814	Hang	IP/PR364	Spruson & Ferguson (Asia) Pte Ltd	H. LUNDBECK A/S	Withdrawn
1-2007-01452	nthung	IP/PR363	ADIPVEN (M) SDN BHD (968005-T)	SANDWICH PANEL CONSTRUCTION SDN. BHD	Registered
1-2007-01708	Nguyễn Thị Mỹ hương/Thị Trang	IP/PR362	Spruson & Ferguson (Asia) Pte Ltd	MEIJI CO., LTD.	Registered
1-2007-01381	Nguyễn Thị Trang	IP/PR361	Spruson & Ferguson (Asia) Pte Ltd	CHEVRON U.S.A. INC.	Registered
1-2007-01322	Hang	IP/PR360	Tilleke & Gibbins Consultants Limited (VN)	Rohm and Hass Company	Withdrawn
1-2007-01253	Nguyễn Thị Trang	IP/PR359	Spruson & Ferguson (Asia) Pte Ltd	J.M. HUBER CORPORATION	Withdrawn
1-2007-01254	Nguyễn Thị Trang	IP/PR358	Spruson & Ferguson (Asia) Pte Ltd	J.M. HUBER CORPORATION	Withdrawn
1-2007-01338	Nguyễn Thành Đạt/ND	IP/PR357	ALBEMARLE CORPORATION	Albemarle Corporation	Withdrawn
1-2007-01337	Nguyễn Thành Đạt/ND	IP/PR356	ALBEMARLE CORPORATION	Albemarle Corporation	Withdrawn
1-2007-01662	Nam	IP/PR355	UIP International Patent & Law Firm	Morris Corporation	Registered
1-2007-01321	Nguyễn Thị Trang/ND	IP/PR354	ALBEMARLE CORPORATION	Albemarle Corporation	Withdrawn
1-2007-01415	Hang	IP/PR353	Spruson & Ferguson (Asia) Pte Ltd	BP Corporation North America Inc.	Withdrawn
1-2007-01284	Nthung	IP/PR352	SinoWise Patent & Trademark Office	WANG, Jen-Chieh	Registered
1-2007-01232	Nam	IP/PR351	Charng Yun International Intellectual Property Office	WANG, SWEI MU	Withdrawn
1-2007-01143	Nthung	IP/PR350	Spruson & Ferguson (Asia) Pte Ltd	ORTHOPEDIC DEVELOPMENT CORPORATION	Withdrawn
1-2007-01069	Nam	IP/PR349	Spruson & Ferguson (Asia) Pte Ltd	VIZ ENTERPRISES, LLC	Withdrawn
1-2007-01177	Nthung/NDung	IP/PR348	Shobayashi International Patent & Trademark Office	OHARA INC.	Withdrawn
1-2007-01178	Nguyễn Thành Đạt/NDzung	IP/PR347	Shobayashi International Patent & Trademark Office	OHARA INC.	Withdrawn
183387	Nguyễn Thị Trang/KD	IP/PR346	CHEN Yiqing	CHEN Yiqing	Withdrawn
		IP/PR345		CHEN Yiqing	Abandoned
2007/3560	Ngô Thị Phương Hoa/Nguyễn Thị Trang/KD	IP/PR344	CHEN Yiqing	CHEN Yiqing	Withdrawn
W00200701627	Nguyễn Thị Trang/KD	IP/PR343	CHEN Yiqing	CHEN Yiqing	Withdrawn
10-2007-7011754	Nguyễn Thị Trang/KD	IP/PR342	CHEN Yiqing	CHEN Yiqing	Withdrawn
2007-541639	Ngô Thị Phương Hoa/Thị Trang/KD	IP/PR341	CHEN Yiqing	CHEN Yiqing	Withdrawn
1-2007-501101	Nguyễn Thị Trang/KD	IP/PR340	CHEN Yiqing	CHEN Yiqing	Withdrawn
1851/KOLNP/2007	Nguyễn Thị Trang/KD	IP/PR339	CHEN Yiqing	CHEN Yiqing	Withdrawn
1-2007-01661	Nguyễn Thành Đạt	IP/PR338	UIP International Patent & Law Firm	Morris Corporation	Registered
1-2007-01001	Ngô Thị Phương Hoa	IP/PR337	YOU ME PATENT & LAW FIRM	LG Household & Health Care Ltd.	Registered
1-2007-01142	Nguyễn Thành Đạt	IP/PR336	Spruson & Ferguson (Asia) Pte Ltd	ORTHOPEDIC DEVELOPMENT CORPORATION	Withdrawn
1-2007-00959	Nguyễn Thị Trang	IP/PR335	PHIL & ONZI Int'l Patent & Law Firm	LG Household & Health Care Ltd.	Registered
1-2007-01437	Nguyễn Thị Thu Hiền	IP/PR334	Spruson & Ferguson (Asia) Pte Ltd	BP CORPORATION NORTH AMERICA INC.	Withdrawn
1-2007-00884	nthung	IP/PR333	Adastra IP (M) Sdn Bhd	"Pantech Co., Ltd.
 Pantech & Curitel Communications, Inc."	Withdrawn
1-2007-01036	Hang	IP/PR332	S. MAJUMDAR & CO.	"BIOPROJET
 SUN PHARMACEUTICAL INDUSTRIES LTD."	Withdrawn
1-2007-01000	nthung	IP/PR331	Spruson & Ferguson (Asia) Pte Ltd	Knowles Electronics, LLC	Registered
1-2007-00934	nthung	IP/PR330	Spruson & Ferguson (Asia) Pte Ltd	SDC Coatings Inc.	Withdrawn
1-2007-00883	Nguyễn Thu Trang	IP/PR329	Finnegan, Henderson, Farabow, Garrett & Dunner, L.L.P	OTSUKA AMERICA PHARMACEUTICAL, INC.	Withdrawn
1-2007-00913	Ngô Thu Hà	IP/PR328	Spruson & Ferguson (Asia) Pte Ltd	STUDIO MODERNA SA	Registered
1-2007-00885	Nguyễn Thành Đạt	IP/PR327	Spruson & Ferguson (Asia) Pte Ltd	Knowles Electronics, LLC	Withdrawn
1-2007-00690	Nguyễn Thành Đạt	IP/PR326	Haeorom International Patent & Law Offices	SUDOKWON Landfill Site Management Corp.	Registered
